product_id,category_code
1005064,electronics.smartphone
15100216,unknown
2601413,unknown
1005073,electronics.smartphone
15100337,unknown
2701657,appliances.kitchen.refrigerators
23900006,unknown
1004857,electronics.smartphone
4803894,electronics.audio.headphone
8800811,electronics.telephone
4600484,appliances.kitchen.dishwasher
5000318,appliances.sewing_machine
11000257,appliances.kitchen.toster
6200971,appliances.environment.air_heater
5100816,unknown
42600112,unknown
1003306,electronics.smartphone
4804501,electronics.audio.headphone
1004833,electronics.smartphone
3701005,appliances.environment.vacuum
1801874,electronics.video.tv
1002524,electronics.smartphone
1005105,electronics.smartphone
42000019,unknown
1480509,computers.desktop
1005115,electronics.smartphone
1201389,electronics.tablet
28715121,apparel.shoes.keds
1004767,electronics.smartphone
4802036,electronics.audio.headphone
5000552,appliances.sewing_machine
1005098,electronics.smartphone
21100360,unknown
3701104,appliances.environment.vacuum
1005008,electronics.smartphone
4804056,electronics.audio.headphone
1004136,electronics.smartphone
26203751,unknown
6800992,computers.components.hdd
5100835,unknown
6000167,auto.accessories.alarm
8500219,unknown
1005032,electronics.smartphone
45600267,apparel.shoes
22700129,unknown
28717039,apparel.shoes.keds
1306359,computers.notebook
1307366,computers.notebook
15700176,unknown
1003318,electronics.smartphone
1004436,electronics.smartphone
1004775,electronics.smartphone
6000260,auto.accessories.alarm
3600163,appliances.kitchen.washer
18000622,unknown
1004932,electronics.smartphone
28715660,apparel.shoes
21411002,electronics.clocks
26203032,unknown
28101547,unknown
1004247,electronics.smartphone
38900016,unknown
28100315,unknown
1004777,electronics.smartphone
1004205,electronics.smartphone
14300251,unknown
5700758,auto.accessories.player
5100797,electronics.clocks
1002535,electronics.smartphone
27900032,unknown
3100901,appliances.kitchen.blender
1004157,electronics.smartphone
17500335,unknown
3801063,appliances.iron
1003304,electronics.smartphone
2701705,appliances.kitchen.refrigerators
1004237,electronics.smartphone
11500708,unknown
28101621,unknown
4804295,electronics.audio.headphone
3700700,appliances.environment.vacuum
26403394,unknown
1002633,electronics.smartphone
1004578,electronics.smartphone
5100524,electronics.clocks
5000390,appliances.sewing_machine
21404575,electronics.clocks
28401060,accessories.bag
26402208,unknown
6200515,appliances.environment.air_heater
1802023,electronics.video.tv
10900007,appliances.kitchen.mixer
8500273,unknown
10800002,unknown
12500329,unknown
3701134,appliances.environment.vacuum
14100460,electronics.audio.acoustic
4803943,electronics.audio.headphone
19300039,appliances.ironing_board
13200941,furniture.bedroom.bed
1306560,computers.notebook
28713721,apparel.shoes.keds
1004806,electronics.smartphone
26500037,unknown
12709380,unknown
1004990,electronics.smartphone
12703494,unknown
1004562,electronics.smartphone
31501019,unknown
4501563,appliances.kitchen.hob
1003475,electronics.smartphone
6700995,computers.components.videocards
12201456,sport.bicycle
1307067,computers.notebook
1004839,electronics.smartphone
1305911,computers.notebook
22700079,unknown
1306449,computers.notebook
1005150,electronics.smartphone
1004433,electronics.smartphone
7800036,unknown
1306423,computers.notebook
26402497,unknown
26300594,unknown
5700518,auto.accessories.player
12705521,unknown
1004166,electronics.smartphone
6200875,appliances.environment.air_heater
1004957,electronics.smartphone
5100846,electronics.clocks
1004748,electronics.smartphone
1004834,electronics.smartphone
8700289,appliances.personal.hair_cutter
26203894,unknown
13101418,unknown
3601226,appliances.kitchen.washer
26400327,unknown
13300108,unknown
1802037,electronics.video.tv
21401211,electronics.clocks
17200651,furniture.living_room.sofa
44000002,apparel.shoes
9300067,unknown
1004812,electronics.smartphone
6200323,appliances.environment.air_heater
23300392,unknown
26400318,unknown
28600026,unknown
1005033,electronics.smartphone
1005100,electronics.smartphone
5700414,auto.accessories.player
5701002,auto.accessories.player
35000029,unknown
28715758,apparel.shoes.keds
1005003,electronics.smartphone
29502169,unknown
3700779,appliances.environment.vacuum
2501615,appliances.kitchen.oven
4800678,electronics.audio.headphone
3300323,unknown
28100822,unknown
21408015,electronics.clocks
17200570,furniture.living_room.sofa
1004836,electronics.smartphone
5100572,electronics.clocks
3800548,appliances.iron
1004359,electronics.smartphone
28718817,unknown
1004835,electronics.smartphone
14700378,furniture.living_room.cabinet
8300354,unknown
5701128,auto.accessories.player
1004741,electronics.smartphone
26400175,unknown
2800386,appliances.kitchen.refrigerators
9200640,computers.peripherals.keyboard
1801690,electronics.video.tv
1005086,electronics.smartphone
1304849,computers.notebook
28400775,accessories.bag
2600744,unknown
26203919,unknown
26400686,unknown
5100735,electronics.clocks
4803940,electronics.audio.headphone
10701064,unknown
5800792,electronics.audio.subwoofer
2601810,unknown
3600575,appliances.kitchen.washer
1401596,computers.desktop
1003769,electronics.smartphone
28101000,unknown
3700689,appliances.environment.vacuum
3900909,appliances.environment.water_heater
2800416,appliances.kitchen.refrigerators
3601284,appliances.kitchen.washer
1801860,electronics.video.tv
3800793,appliances.iron
26300510,unknown
15100133,unknown
8700225,appliances.personal.hair_cutter
12202338,sport.bicycle
3701245,appliances.environment.vacuum
12701967,unknown
15200315,unknown
12703415,unknown
1004870,electronics.smartphone
12201845,sport.bicycle
4700533,auto.accessories.videoregister
34800176,unknown
4804409,electronics.audio.headphone
2601092,unknown
5800167,electronics.audio.subwoofer
2900838,appliances.kitchen.microwave
1004659,electronics.smartphone
4804055,electronics.audio.headphone
28717496,apparel.shoes
14701483,furniture.living_room.cabinet
12400112,construction.tools.drill
28716983,apparel.shoes.keds
38900030,unknown
1005017,electronics.smartphone
9101100,computers.peripherals.mouse
13103001,unknown
26402562,unknown
23900047,unknown
5701194,auto.accessories.player
5400107,unknown
15800006,unknown
1307253,computers.notebook
1307310,computers.notebook
27300014,unknown
1005135,electronics.smartphone
1004435,electronics.smartphone
1801991,electronics.video.tv
35103864,apparel.underwear
1004875,electronics.smartphone
1004856,electronics.smartphone
8800773,electronics.telephone
15700222,unknown
5700585,auto.accessories.player
1801881,electronics.video.tv
1306763,computers.notebook
17200454,furniture.living_room.sofa
4803964,electronics.audio.headphone
28100913,unknown
1004736,electronics.smartphone
1003746,electronics.smartphone
6000032,auto.accessories.alarm
5300433,unknown
45600156,apparel.shoes.keds
1004946,electronics.smartphone
30000100,construction.tools.welding
1201496,electronics.tablet
6500754,computers.components.motherboard
3900486,appliances.environment.water_heater
