user_id,total_interactions,purchase,view,cart,avg_price,activity_level,top_category,top_brand
518083733,47,0,47,0,256.90680851063826,high,electronics.smartphone,xiaomi
517852471,9,0,9,0,676.9266666666666,medium,unknown,unknown
512866900,3,0,3,0,144.27666666666667,low,unknown,artel
545241696,5,0,5,0,1148.056,medium,electronics.smartphone,samsung
545424890,14,0,14,0,125.41857142857143,high,unknown,unknown
524194904,10,0,10,0,266.135,high,appliances.kitchen.refrigerators,indesit
513904165,4,0,4,0,33.6575,low,unknown,unknown
518082899,3,0,3,0,168.6,low,electronics.smartphone,samsung
538810714,10,0,10,0,84.84200000000001,high,electronics.audio.headphone,sony
514617488,4,0,4,0,27.137500000000003,low,electronics.telephone,texet
519595887,5,0,5,0,352.898,medium,appliances.kitchen.dishwasher,hansa
555555266,12,0,12,0,149.99833333333336,high,appliances.sewing_machine,janome
518358949,10,0,10,0,23.294,high,appliances.kitchen.toster,scarlett
549317039,46,0,46,0,29.581304347826087,high,appliances.environment.air_heater,oasis
516071697,6,0,5,1,27.39,medium,unknown,xiaomi
517038971,3,0,3,0,35.97666666666667,low,unknown,stels
525250483,3,0,3,0,329.14666666666665,low,electronics.video.tv,apple
514127317,4,2,2,0,2.125,low,electronics.audio.headphone,ritmix
555634481,8,0,8,0,249.38,medium,electronics.smartphone,samsung
555567849,32,0,32,0,115.68375,high,appliances.environment.vacuum,bosch
513701532,4,0,4,0,307.4725,low,electronics.video.tv,kivi
546432796,8,0,8,0,464.14500000000004,medium,electronics.smartphone,apple
517039238,5,0,5,0,940.2740000000001,medium,electronics.smartphone,apple
537934743,6,0,6,0,426.78333333333336,medium,unknown,karcher
554882951,3,0,3,0,651.2133333333333,low,computers.desktop,netechnics
518725247,5,0,4,1,1063.5520000000001,medium,electronics.smartphone,apple
515309360,7,0,7,0,685.3885714285714,medium,electronics.tablet,apple
555573608,22,0,21,1,107.45818181818181,high,apparel.shoes,baden
518104051,9,0,9,0,517.9555555555556,medium,electronics.smartphone,unknown
519114091,22,0,22,0,64.9427272727273,high,electronics.audio.headphone,apple
523554902,17,0,17,0,87.26588235294116,high,appliances.kitchen.washer,midea
516241418,3,0,3,0,623.2666666666667,low,electronics.smartphone,apple
520546484,6,0,6,0,306.8366666666667,medium,unknown,maomaoku
512378304,3,0,3,0,102.71333333333332,low,appliances.environment.vacuum,samsung
555543833,6,1,5,0,120.41166666666668,medium,electronics.smartphone,xiaomi
512850441,22,5,11,6,688.2345454545455,high,electronics.audio.headphone,apple
546763893,11,0,11,0,185.5181818181818,high,electronics.smartphone,xiaomi
537857590,6,0,6,0,199.85666666666668,medium,electronics.smartphone,xiaomi
538021299,3,0,3,0,114.71666666666665,low,unknown,unknown
544131321,5,0,5,0,43.71,medium,computers.components.hdd,transcend
545799436,3,0,3,0,46.03,low,unknown,xiaomi
516075799,3,0,3,0,82.37,low,auto.accessories.alarm,centurion
550801320,2,0,2,0,246.3,low,unknown,unilux
513557704,4,0,4,0,406.29999999999995,low,electronics.smartphone,xiaomi
523892730,7,0,7,0,194.1583333333333,medium,unknown,shagovita
513215935,14,0,14,0,77.28714285714285,high,unknown,stels
555433360,18,1,17,0,59.356666666666655,high,apparel.shoes.keds,casio
555694323,4,0,4,0,656.36,low,computers.notebook,acer
512543853,12,0,12,0,583.3675000000001,high,electronics.smartphone,apple
